grade,gender,transgender,sexual_orientation,religion,ethnicity,physical_disability,learning_disability,parent_guardian,guardian_degree,language_at_home_number,book_in_home_number,book_read_number,computer_at_home_number,district,gpa,dei_01,dei_02,dei_03,dei_04,dei_fair_to_boys,"G_School Climate for Diversity, Equity, and Inclusion			",dei_05,dei_06,dei_07,dei_10,"G_School Climate Overall			",dei_11,dei_12,dei_13,dei_16,dei_17,dei_18,dei_21,dei_75,"G_Classroom Teaching Supporting Diversity, Equity, and Inclusion						",dei_24,dei_25,dei_26,"G_Co-curricular Activities Supporting Diversity, Equity, and Inclusion		",dei_27,dei_28,dei_29,"G_School Commitment to Diversity, Equity, and Inclusion",dei_30,dei_31,dei_32,dei_35,dei_36,dei_37,"G_Everyday Discrimination by Students					",dei_48,dei_49,dei_50,dei_53,dei_54,dei_55,"G_Everyday Discrimination by Teachers					",dei_72,dei_73,dei_74,dei_76,"G_Outcomes					",dei_80,dei_81,dei_82,dei_83,dei_84,"G_Meaningful Interactions Across Difference				"
11,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,Yes,Single Parent,I don't know,3,11-24,0-5,"Yes, three or more",8,2,5,4,5,5,5,4.75,3,4,5,5,4.25 ,,2,1,2,1,2,1,,1.50 ,1,1,1,1,4,4,3,3.666666667,1,1,1,1,1,1,1,2,1,1,1,1,1,1.166666667,3,3,2,2.50 ,2.63 ,4,3,2,1,2,2.4
7,Female,Yes,,,Black or African American,,,Single Parent,,1,11-24,5-10,"Yes, one",8,7,3,2,3,3,3,2.75,4,4,3,4,3.75 ,,5,3,3,4,4,4,,3.83 ,4,4,4,4,4,5,5,4.666666667,4,3,5,3,5,4,4,4,3,5,4,3,5,4,5,4,4,,4.33 ,,4,4,5,4,4.25
10,Male,Yes,I don't know,Christian,White,No,No,Parents,Finished a 4-year college degree,1,25-99,10-15,"Yes, one",8,4,5,3,5,5,5,4.5,4,4,3,4,3.75 ,,2,3,3,3,3,2, ,2.67 ,1,1,1,1,3,4,3,3.333333333,3,2,1,2,1,2,1.833333333,2,1,1,1,1,1,1.166666667,4,4,5,3.50 ,4.13 ,2,1,2,3,3,2.2
11,Male,No,I don't know,Christian,Black or African American,No,Yes,Stepparent,Finished a professional or graduate degree after college,1,25-99,5-10,"Yes, three or more",8,3,4,5,5,5,5,4.75,5,5,5,5,5.00 ,,2,3,4,3,5,4,,3.50 ,0,0,1,0.333333333,1,3,3,2.333333333,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1,3,5,4,2.50 ,3.63 ,1,1,1,1,1,1
9,Male,Yes,I don't know,Atheist,White,No,No,Stepparent,Finished high school,1,11-24,0-5,"Yes, one",8,4,5,4,5,5,5,4.75,4,3,3,3,3.25 ,,2,2,2,2,2,2,,2.00 ,0,0,0,0,4,4,3,3.666666667,3,3,2,2,1,3,2.333333333,1,1,1,1,1,1,1,3,4,4,3.50 ,3.63 ,1,3,3,3,5,3
10,Male,No,Heterosexual,None,White,No,No,Parents,Attended some college or earned a 2-year degree,1,25-99,0-5,"Yes, two",8,,3,3,3,3,3,3,3,4,4,3,3.50 ,,3,4,3,3,4,4,,3.50 ,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4.50 ,4.13 ,4,4,4,5,5,4.4
7,Female,No,Bisexual,,Black or African American,Yes,Yes,Single Parent,Finished high school,2,0-10,0-5,"Yes, two",8,3,5,5,3,5,5,4.5,3,4,4,5,4.00 ,,5,3,4,4,4,4,,4.00 ,5,4,4,4.333333333,5,5,4,4.666666667,4,1,1,1,1,2,1.666666667,1,1,1,1,1,1,1,4,4,4,4.00 ,4.00 ,4,4,3,5,4,4
9,Female,No,Heterosexual,None,Black or African American,No,Yes,Single Parent,Finished a 4-year college degree,2,0-10,0-5,"Yes, three or more",8,4,4,4,5,5,5,4.5,3,4,5,4,4.00 ,,,1,4,2,,,,2.33 ,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,2.50 ,2.50 ,,,,,,
9,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",,No,Parents,Finished a professional or graduate degree after college,1,11-24,0-5,"Yes, one",8,7,3,4,5,2,3,3.5,5,4,4,5,4.50 ,,4,5,5,3,5,5,,4.50 ,4,5,4,4.333333333,4,3,4,3.666666667,5,4,4,3,1,1,3,3,4,2,1,1,1,2,1,5,5,5.00 ,4.00 ,,,,,,
11,Female,No,Heterosexual,None,White,No,No,Single Parent,Finished a 4-year college degree,1,25-99,0-5,"Yes, one",8,3,3,2,3,3,3,2.75,3,3,3,3,3.00 ,,3,3,3,3,3,3,,3.00 ,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.50 ,2.88 ,3,3,3,3,3,3
9,Male,No,Heterosexual,Christian,White,No,No,Stepparent,Finished a professional or graduate degree after college,1,More than 250,10-15,"Yes, three or more",8,4,5,5,5,3,5,4.5,5,4,5,5,4.75 ,,5,5,5,5,5,5,,5.00 ,0,5,5,3.333333333,3,3,5,3.666666667,3,3,2,4,1,3,2.666666667,3,2,2,1,1,1,1.666666667,4,4,5,4.50 ,4.38 ,5,5,5,5,4,4.8
9,Female,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,Did not finish high school,1,More than 250,5-10,"Yes, three or more",8,7,2,2,2,3,3,2.25,3,3,3,3,3.00 ,,2,2,2,2,2,2,,2.00 ,0,0,0,0,3,3,2,2.666666667,4,4,4,,1,1,2.8,1,3,1,1,1,1,1.333333333,3,4,3,2.00 ,3.00 ,1,1,1,1,1,1
10,Male,No,Heterosexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,0-10,0-5,"Yes, three or more",8,4,5,5,5,5,5,5,5,5,5,5,5.00 ,,5,5,5,5,5,5,,5.00 ,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,5,5,5,5,5,5
6,Male,No,Heterosexual,None,Black or African American,No,No,Stepparent,Finished high school,3,0-10,5-10,"Yes, one",8,,4,5,5,4,5,4.5,3,3,3,3,3.00 ,,,5,5,5,5,5,,5.00 ,0,0,0,0,3,3,3,3,4,4,4,4,3,4,3.833333333,1,1,1,1,1,1,1,3,4,3,0.50 ,2.63 ,4,4,4,4,3,3.8
6,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Finished high school,2,0-10,5-10,No,8,7,5,5,5,4,4,4.75,5,5,5,5,5.00 ,,1,5,5,5,5,5,,4.33 ,0,0,0,0,3,3,5,3.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,5,4,5,5,1,4
9,Male,No,Heterosexual,,Black or African American,No,No,Parents,,1,11-24,0-5,"Yes, three or more",8,,5,5,5,5,5,5,4,5,5,4,4.50 ,,5,5,5,4,5,5,,4.83 ,0,0,1,0.333333333,5,5,4,4.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4.00 ,3.50 ,3,3,5,5,5,4.2
6,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,0-10,0-5,No,8,4,4,2,3,5,5,3.5,4,3,3,3,3.25 ,,2,2,3,2,2,2,,2.17 ,4,1,0,1.666666667,4,3,4,3.666666667,2,3,1,2,1,2,1.833333333,2,2,2,2,2,2,2,3,2,3,3.50 ,2.88 ,2,1,3,1,1,1.6
11,Male,No,I don't know,Christian,"Hispanic, Latino, or Spanish",No,No,Single Parent,Finished high school,2,0-10,0-5,"Yes, two",8,2,3,5,5,3,3,4,3,3,3,3,3.00 ,,2,2,3,2,2,3,,2.33 ,0,0,0,0,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,1,1,1.666666667,3,3,3,2.00 ,2.75 ,3,3,2,2,1,2.2
9,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Attended some college or earned a 2-year degree,1,100-250,5-10,"Yes, three or more",8,3,5,4,5,5,5,4.75,4,3,4,4,3.75 ,,4,5,4,4,5,5,,4.50 ,0,0,0,0,3,3,3,3,2,1,1,1,1,1,1.166666667,1,1,1,1,1,1,1,3,3,3,4.00 ,3.25 ,2,2,2,3,3,2.4
7,Nonbinary or another gender,No,Bisexual,Christian,White,No,No,Stepparent,Finished a 4-year college degree,2,25-99,5-10,"Yes, three or more",8,3,5,3,3,5,5,4,4,4,3,4,3.75 ,,4,4,4,2,4,4,,3.67 ,4,1,1,2,3,3,3,3,2,3,4,4,1,3,2.833333333,1,1,1,1,1,1,1,3,3,4,3.50 ,3.38 ,1,1,1,1,3,1.4
10,Male,No,I don't know,Christian,Black or African American,No,No,Stepparent,Finished high school,1,100-250,10-15,"Yes, three or more",8,1,5,1,5,5,5,4,5,5,5,5,5.00 ,,3,5,5,3,5,5,,4.33 ,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,1,5,1,1,1,1.8
11,Female,No,Heterosexual,Agnostic,"Hispanic, Latino, or Spanish",No,No,Stepparent,Did not finish high school,2,0-10,0-5,"Yes, three or more",8,4,5,5,5,5,5,5,5,5,5,5,5.00 ,,4,1,2,2,2,2,,2.17 ,1,1,1,1,4,3,3,3.333333333,4,1,1,1,1,1,1.5,2,2,2,2,2,2,2,4,4,4,5.00 ,4.25 ,3,3,3,3,3,3
6,Male,No,Heterosexual,,"Hispanic, Latino, or Spanish",No,Yes,Parents,Finished high school,2,11-24,More than 15,"Yes, three or more",8,,3,5,4,5,5,4.25,5,3,3,5,4.00 ,,,4,2,2,2,2,,2.40 ,1,,4,2.5,3,4,5,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,5.00 ,3.00 ,,,,,,
